area,year,season,Calanus_finmarchicus,zooplankton_meso_dry_weight
5Ze,2000,Winter,NA,3.0600338004029632
5Ze,2001,Winter,3.8171829554174566,1.9682170130059142
5Ze,2002,Winter,4.025161676570555,1.1561738156585115
5Ze,2003,Winter,3.953494409679636,1.279479095546481
5Ze,2004,Winter,4.254226394412083,1.910587006650248
5Ze,2005,Winter,3.7771601757475755,1.2008201074266465
5Ze,2006,Winter,3.717476142442314,0.9716995624269216
5Ze,2007,Winter,3.6069455027894706,0.6123351533451795
5Ze,2008,Winter,4.0130362641063435,5.575474052833614
5Ze,2009,Winter,3.3914704080923768,0.43914459687261603
5Ze,2010,Winter,3.851946004374728,0.6772858450138809
5Ze,2011,Winter,3.588206361994402,0.7501692388366311
5Ze,2012,Winter,3.780660232840729,1.2774261774849212
5Ze,2013,Winter,3.7764102368168913,1.669211567445098
5Ze,2014,Winter,4.011371557646089,1.9635456531495172
5Ze,2015,Winter,3.735498985826806,1.19290876875722
5Ze,2016,Winter,3.67341443591205,2.283640007672053
5Ze,2017,Winter,4.0522151186840905,1.5035177564470714
5Ze,2019,Winter,3.5980149296753186,6.05795457080945
5Ze,2020,Winter,3.5025446934647073,0.7412876897878696
5Ze,2021,Winter,4.029030380151115,1.5880947616087675
5Ze,2022,Winter,3.727330705818324,2.1710398495730505
5Ze,2023,Winter,3.8971492026668777,4.233447156160872
5Ze,2024,Winter,4.14939516228915,1.5635165028852274
4V,1999,Summer,3.314075282799148,2.034939079948679
4V,2000,Summer,3.997569707277952,3.2371146132826616
4V,2001,Summer,3.1594539619632,3.2640499188928436
4V,2002,Summer,3.720532318183104,1.417683215618904
4V,2003,Summer,4.42519386630293,7.848950369829541
4V,2004,Summer,4.188779944893588,4.228259555990873
4V,2005,Summer,3.7923405964969694,2.846369780084372
4V,2006,Summer,4.12121405548813,3.817473713712148
4V,2007,Summer,3.9700482374853086,3.6564382308410104
4V,2008,Summer,4.048195325429437,3.0411822207024466
4V,2009,Summer,4.011990512837254,3.0717343372073294
4V,2010,Summer,3.9328459088926304,2.0660081412644975
4V,2011,Summer,3.5343005958027187,2.041204653723805
4V,2012,Summer,3.4742180615720506,2.568577463460858
4V,2013,Summer,3.3234981367727907,0.4078992110038917
4V,2014,Summer,3.947788927350971,3.0018255965737786
4V,2015,Summer,3.4316747633143945,2.0810869040074422
4V,2016,Summer,3.7608678398588795,6.090515357048145
4V,2017,Summer,3.9110947845586157,3.2721728502070984
4V,2019,Summer,3.570281527065997,2.0828568002933423
4V,2020,Summer,3.8864193776833815,2.906982684458476
4V,2023,Summer,3.261264883600706,2.5672734756850835
4V,2024,Summer,3.6146883693110543,2.105639498608787
4W,1999,Summer,3.919668819383475,2.4037093783504884
4W,2000,Summer,4.035779297694418,3.6815623213542668
4W,2001,Summer,3.900916668468384,4.3331225525746575
4W,2002,Summer,3.7550314619830623,3.292272548200002
4W,2003,Summer,4.107433486685162,3.4365528649615276
4W,2004,Summer,4.1496968559973215,3.5751285113279687
4W,2005,Summer,3.9260491499666745,3.1882056865709583
4W,2006,Summer,4.188808308015971,3.6420139649621084
4W,2007,Summer,4.189558638176815,2.874647753427158
4W,2008,Summer,4.2363366000313025,3.5649437030130033
4W,2009,Summer,3.8470771648041464,2.4572470188079927
4W,2010,Summer,3.8146092972862995,2.3614103160779765
4W,2011,Summer,3.759360298765565,2.7775661220204593
4W,2012,Summer,3.828633626230734,1.83540651525718
4W,2013,Summer,3.540283006159158,1.4336098275477176
4W,2014,Summer,3.549500478462674,2.538781886444406
4W,2015,Summer,3.871997164873105,2.66039618193747
4W,2016,Summer,3.861342097590374,3.786241919528935
4W,2017,Summer,4.298724410276352,4.775697580802661
4W,2018,Summer,4.128607252666868,4.193297324023853
4W,2019,Summer,4.2583558238796675,3.4222903166597933
4W,2020,Summer,4.299728961442388,4.906879180167246
4W,2021,Summer,3.939022329977293,2.238335766423358
4W,2022,Summer,3.891219784152324,1.9626595285410278
4W,2023,Summer,3.978942898204592,1.89684653373842
4W,2024,Summer,4.030464303470971,1.5250952360507999
4X,1999,Summer,4.264090275480684,5.698468166317805
4X,2000,Summer,4.608804997327552,6.602036792081201
4X,2001,Summer,4.383101704861853,8.116688124075916
4X,2002,Summer,4.377763712181514,6.780291801872255
4X,2003,Summer,4.382111815082805,5.033751514208968
4X,2004,Summer,4.3679826210480135,5.104475843518691
4X,2005,Summer,4.180830273485597,2.729867072196006
4X,2006,Summer,4.27580936717565,6.147345635659145
4X,2007,Summer,4.460554409427977,6.308949586612779
4X,2008,Summer,4.272244046691116,5.107312787743793
4X,2009,Summer,4.18547913192828,3.3189935130904447
4X,2010,Summer,4.1254493349108525,3.4598943099792434
4X,2011,Summer,4.171505994998391,5.3651032146084745
4X,2012,Summer,4.26390643476401,4.3165205582001125
4X,2013,Summer,4.759814075510811,17.083416754255552
4X,2014,Summer,4.907895440821809,10.881760303882563
4X,2015,Summer,3.840615062735819,2.6722287581060185
4X,2016,Summer,4.547137081801911,8.503637904067464
4X,2017,Summer,4.22983834311688,5.4031592399659605
4X,2018,Summer,3.9477160812306944,4.291540648980383
4X,2019,Summer,4.432484835803816,5.550687202876347
4X,2020,Summer,4.330988244005953,5.256317209255625
4X,2022,Summer,3.8051860151600585,2.191005783540078
4X,2023,Summer,4.495327956502547,3.954913697980106
4X,2024,Summer,4.195266386849622,2.593169328930662
