cruiseNumber,cruise
99666,STATION 2 (SCOTIAN SHELF)
98078,GEORGES BANK SOUTHWEST SCOTIAN SHELF
98079,GEORGES BANK SOUTHWEST SCOTIAN SHELF
99003,SCOTIAN SHELF CABOT STRAIT
99018,FORCHU BANQURERU GRAND BANKS
99022,LABRADOR SEA SCOTIAN SHELF SLOPE
99025,SOUTHWEST SCOTIAN SHELF BAY OF FUNDY
99029,EASTERN SCOTIAN SHELF
99028,BROWNS BANK GEORGES BANK
99054,SCOTIAN SHELF
BCD2000666,STATION 2 (SCOTIAN SHELF)
99065,GEORGES BANK
99066,4VW EASTERN SCOTIAN SHELF
PAR2000002,SCOTIAN SHELF ~ CABOT STRAIT ~ BROWNS BANK ~ THE GULLEY
PAR2000001,ST. PIERRE BANK GRAND BANKS LAURENTIAN FAN SCOTIAN SHELF
HUD2000009,LABRADOR SEA ~ SCOTIAN SHELF
PAR2000075,SCOTIAN SHELF SLOPE
NED2000026,SCOTIAN SHELF GULF OF MAINE BAY OF FUNDY
NED2000031,NAFO 4VW EASTERN SCOTIAN SHELF
HUD2000050,SCOTIAN SHELF and CABOT STRAIT
HUD2000050,SCOTIAN SHELF and SLOPE
HUD2000066,EASTERN SCOTIAN SHELF and ST. PIERRE BANK
IML2000062,GSL / ESL
BCD2001666,STATION 2 (SCOTIAN SHELF)
NED2001003,NAFO FISHING ZONE 5ZE ~ GEORGES BANK
NED2001004,NAFO FISHING ZONE 4VW (EASTERN SCOTIAN SHELF)
HUD2001009,SCOTIAN SHELF
HUD2001022,LABRADOR SEA SCOTIAN SHELF
NED2001032,NAFO FISHING ZONE 4WX (GULF OF MAINE ~ BAY OF FUNDY)
NED2001037,NAFO FISHING ZONE 4VW (EASTERN SCOTIAN SHELF)
HUD2001061,Scotia Shelf
HUD2001061,Halifax Line
HUD2001061,Halifax Line 2
HUD2001072,GSL ESL
BCD2002666,STATION 2 (SCOTIAN SHELF)
NED2002002,5ZE GEORGES BANK
NED2002003,4VsW EASTERN SCOTIAN SHELF
SWA2002916,HALIFAX LINE SCOTIAN SHELF
HUD2002032,LABRADOR SEA SCOTIAN SHELF
NED2002037,4VWX SCOTIAN SHELF GULF OF MAINE BAY OF FUNDY
NED2002040,4VWX SCOTIAN SHELF GULF OF MAINE BAY OF FUNDY
NED2002051,SOUTHERN GULF OF ST. LAWRENCE
HUD2002054,LAURENTIAN CHANNEL SCOTIAN SHELF
HUD2002064,SCOTIAN SHELF AND SLOPE ~ CABOT STRAIT
HUD2002075,LABRADOR SEA
BCD2003666,STATION 2 (SCOTIAN SHELF)
NED2003002,GEORGES BANK
NED2003003,4VsW SCOTIAN SHELF SLOPE
HUD2003005,SCOTIAN SHELF AND SLOPE
MAT2003014,
HUD2003010,NORTH WEST ATLANTIC
HUD2003021,EASTERN SCOTIAN SHELF CABOT STRAIT
NED2003035,SCOTIAN SHELF
HUD2003038,SCOTIAN SHELF SLOPE LAURENTIAN CHANNEL FLEMISH PASS LABRADOR SEA
NED2003036,STATION 2 (SCOTIAN SHELF)
NED2003042,4WX EASTERN SCOTIAN SHELF
HUD2003067,SCOTIAN SHELF
HUD2003072,SCOTIAN SHELF CABOT STRAIT LAURENTIAN CHANNEL
HUD2003078,SCOTIAN SHELF GRAND BANKS LAURENTIAN FAN
BCD2004666,STATION 2 (SCOTIAN SHELF)
TEM2004004,GEORGES BANK
HUD2004005,SCOTIAN SHELF SLOPE
HUD2004009,SCOTIAN SHELF
HUD2004016,LABRADOR SEA SCOTIAN SHELF SLOPE
HUD2004019,ORPHAN BASIN FLEMISH PASS LAURENTIAN FAN SCOTIAN SHELF
TEL2004529,4VWX BAY OF FUNDY COASTAL NOVA SCOTIA
TEL2004530,EASTERN SCOTIAN SHELF
HUD2004055,SCOTIAN SHELF
2004061,Ice Forecast 2004
TEL2005545,GEORGES BANK
TEL2005546,4VsW SCOTIAN SHELF
NED2005004,SCOTIAN SHELF
BCD2005666,STATION 2 (SCOTIAN SHELF)
HUD2005016,LABRADOR SEA SCOTIAN SHELF SLOPE
HUD2005021,GULF OF MAINE BAY OF FUNDY
TEL2005605,WESTERN SCOTIAN SHELF ~ BAY OF FUNDY
TEL2005633,EASTERN SCOTIAN SHELF ~ SYDNEY BIGHT
HUD2005055,SCOTIAN SHELF
BCD2006666,STATION 2 (SCOTIAN SHELF)
TEL2006614,GEORGES BANK
TEL2006615,4VWS EASTERN SCOTIAN SHELF
HUD2006008,SCOTIAN SHELF
HUD2006019,LABRADOR SEA SCOTIAN SHELF SLOPE
NED2006030,4VWX SCOTIAN SHELF
NED2006036,4VWX SCOTIAN SHELF
HUD2006052,SCOTIAN SHELF
MAT2006059,Scotian Shelf
BCD2007666,STATION 2 (SCOTIAN SHELF)
TEM2007685,GEORGES BANK
TEM2007686,4VsW EASTERN SCOTIAN SHELF
HUD2007001,SCOTIAN SHELF SLOPE LAURENTIAN CHANNEL
HUD2007011,SCOTIAN SHELF SLOPE LABRADOR SEA
TEL2007745,4VWX SCOTIAN SHELF
HUD2007033,SCOTIAN SHELF SABLE GULLY
HUD2007045,SCOTIAN SHELF
BCD2008666,SCOTIAN SHELF (STATION 2)
TEL2008805,4VsW EASTERN SCOTIAN SHELF
TEM2008775,NAFO DIVISIONS 5Z (GEORGES BANK) AND 4X (WESTERN SCOTIAN SHELF and BAY OF FUNDY)
HUD2008004,SCOTIAN SHELF CABOT STRAIT GRAND BANKS
HUD2008006,ORPHAN KNOLL
HUD2008009,LABRADOR SEA ~ SCOTIAN SHELF
TEM2008830,4VWX SCOTIAN SHELF
HUD2008037,SCOTIAN SHELF
BCD2009666,STATION 2 (SCOTIAN SHELF)
NED2009841,5Z4VsW GEORGES BANK
NED2009002,4VWs EASTERN SCOTIAN SHELF
HUD2009005,SCOTIAN SHELF
NED2009027,4VX SCOTIAN SHELF
HUD2009048,SCOTIAN SHELF SLOPE LAURENTIAN FAN SW GRAND BANKS SLOPE
BCD2010666,STATION 2 (SCOTIAN SHELF)
NED2010001,GEORGES BANK
NED2010002,4VsW EASTERN SCOTIAN SHELF
HUD2010006,AZMP
HUD2010014,LABRADOR SEA
NED2010027,4VWX SCOTIAN SHELF
HUD2010055,Transects PMZA/ice forecast
HUD2010049,AZMP
BCD2011666,STATION 2 (SCOTIAN SHELF)
NED2011002,5Z GEORGES BANK
HUD2011004,SCOTIAN SHELF
HUD2011009,LABRADOR SEA ~ LAURENTIAN FAN ~ SCOTIAN SHELF AND SLOPE
NED2011025,4VWX SCOTIAN SHELF
HUD2011043,SCOTIAN SHELF
BCD2012666,SCOTIAN SHELF
NED2012002,GEORGES BANK ~ GULF OF MAINE ~ BAY OF FUNDY ~ SCOTIAN SHELF (NAFO AREAS 4WX5)
MLB2012001,LABRADOR SEA
NED2012022,GULF OF MAINE ~ BAY OF FUNDY ~ SCOTIAN SHELF
HUD2012042,SCOTIAN SHELF
BCD2013666,SCOTIAN SHELF
NED2013002,Georges Bank
NED2013002,5Z GEORGES BANKS ~ 4X WESTERN SCOTIAN SHELF ~ GEAR EXPERIMENT
HUD2013004,SCOTIAN SHELF
HUD2013008,LABRADOR SEA
HUD2013013,BAY OF FUNDY ~ MINAS BASIN
NED2013022,Scotian Shelf ~ 4VWX
HUD2013037,SCOTIAN SHELF
BCD2014666,Scotian Shelf
NED2014002,GEORGES BANK
NED2014101,SCOTIAN SHELF ~ NAFO AREA 4X
HUD2014004,SCOTIAN SHELF AND SLOPE
HUD2014007,Labrador Sea
NED2014015,SCOTIAN SHELF
NED2014018,SCOTIAN SHELF ~ NAFO AREAS 4VWX
HUD2014030,SCOTIAN SHELF AND SLOPE
BCD2015666,SCOTIAN SHELF
NED2015002,GEORGES BANK
HUD2015004,SCOTIAN SHELF AND SLOPE
HUD2015006,LABRADOR SEA
NED2015015,SCOTIAN SHELF
NED2015017,SCOTIAN SHELF ~ NAFO AREAS 4VWX
HUD2015030,SCOTIAN SHELF AND SLOPE
BCD2016666,Scotian Shelf
TEL2016002,GEORGES BANK
TEL2016003,WESTERN SCOTIAN SHELF
HUD2016003,SCOTIAN SHELF
HUD2016006,AZOMP Labrador Sea and Scotian Slope
NED2016016,Scotian Shelf ~ Gulf of Maine
HUD2016027,SCOTIAN SHELF
BCD2017666,Scotian Shelf
NED2017102,SCOTIAN SHELF
NED2017002,SCOTIAN SHELF
TEL2017002,SCOTIAN SHELF
COR2017001,SCOTIAN SHELF
NED2017020,SCOTIAN SHELF
EN2017606,NORTHWEST ATLANTIC OCEAN ~ SCOTIAN SHELF
BCD2018666,SCOTIAN SHELF
HUD2018004,SCOTIAN SHELF AND SLOPE
HUD2018008,LABRADOR SEA
TEL2018023,SCOTIAN SHELF
HUD2018030,SCOTIAN SHELF
